"","logFC","logCPM","F","PValue","FDR"
"ZNF624",-0.283621509604014,2.79643149784053,4.03447056917069,0.596808179504239,0.850601717899039
"IKZF5",-0.113755273808989,5.06253733901001,2.49235493347584,0.596945482562267,0.850601717899039
"BFSP1",-0.652732445451655,1.48428888484503,4.25949756768049,0.596962185216341,0.850601717899039
"CHDH",0.0953975596463473,5.54304323828873,2.82458207200735,0.597005542236057,0.850601717899039
"SRRM5",0.669422962050158,1.4524868347285,5.04555694692098,0.597036857609786,0.850601717899039
"ADSL",-0.0930641350230591,5.6128972031719,2.44207206133847,0.597180353389644,0.85069262203411
"TTI1",0.107714319974076,5.20627302306456,2.98177260027,0.597262464507228,0.85069262203411
"ZNF552",0.18440089909857,3.788055783269,4.41038805614518,0.597275033070683,0.85069262203411
"SYT11",-0.569893939387406,1.63358363144573,5.38162868234748,0.597410135914747,0.85080225252975
"HSPA1L",0.558798071501425,1.6507264358626,4.68990158804293,0.597524112842427,0.850817029591259
"SEPHS2",-0.0971451766680414,5.49129089700708,2.66699956900053,0.597536775564946,0.850817029591259
"GAPDHP1",-0.654547604940062,1.47910599161262,5.6543094716165,0.597767634734028,0.851062947662182
"SNORD99",0.576467093238151,1.61250018753109,5.96178161922962,0.597837422442851,0.851079517058026
"RPL29P33",-0.515123809556905,1.7580051019647,5.20630923335469,0.598130841533358,0.851284454755891
"WDR77",0.17253797199617,3.9496983634009,4.1217773744022,0.598135722524429,0.851284454755891
"DIAPH2-AS1",-0.619858198863763,1.5355205763757,5.5040367738577,0.598155871324787,0.851284454755891
"GOLGA8O",0.400067869396464,2.12919700828324,4.90715860159832,0.598292413411179,0.851395990538261
"HIGD2A",-0.12128790149008,4.87777908301096,1.30647383390739,0.598396950879236,0.851461965104851
"C6orf99",0.588608892843481,1.58603625243446,5.85038100751188,0.59854675190617,0.851592326324361
"ACSM3",0.229370410362309,3.2497749217827,3.98505680379944,0.598940182294258,0.852069256226551
"TXNDC9",-0.164319676609032,4.07167049520334,2.84432831656598,0.599093537073181,0.852204588259605
"TAF4B",-0.154249603242206,4.23393304286675,3.74291370026155,0.599229017205981,0.852246187781977
"ZYG11B",0.0734363882265435,6.25724317578722,1.74558215588514,0.599239240124647,0.852246187781977
"ZNF654",0.128381801730939,4.71351992070154,1.65928281914286,0.599478475933539,0.852503592476028
"BAHD1",0.0885945176431479,5.72852515126455,1.86638669143669,0.599663078656466,0.852517701740582
"NDUFA2",0.198992902820588,3.58380179316236,1.84613538038773,0.599663535066206,0.852517701740582
"MED21",-0.116700806035895,4.97209671128591,3.28178290117406,0.599756648546061,0.852517701740582
"CEP250",-0.0774183680427983,6.10698691564444,1.36979417657227,0.599771625738465,0.852517701740582
"SLC35A5",-0.113590403631491,5.04533576653796,2.81290281192949,0.59977963752547,0.852517701740582
"C1S",-0.395478086312321,2.14711991911448,4.94384389967852,0.599946942010862,0.852608078400333
"EIF3FP3",-0.189677900486144,3.70407453705724,3.57624951012692,0.599959729396353,0.852608078400333
"AMER1",0.168354604622609,3.99847059330853,4.06853349453412,0.600095837409428,0.852718706439261
"TCF3",-0.0487738801179391,7.4109112037241,0.473758537210678,0.600386914711115,0.853049498467322
"EMC8",0.116854152351219,4.95989164541072,2.06058202613202,0.600510648977193,0.853142482860629
"MAP3K15",-0.236877587386924,3.16997107671394,4.71564584237658,0.600621642225402,0.853217349860331
"PSMD5",0.0872448935215892,5.76290310226564,2.10827272475453,0.600746238147907,0.853311523828878
"METRNL",0.115451368976213,4.99033274689694,1.07580611614764,0.600815663958882,0.853327322435924
"LINC00205",0.180981729865203,3.8093352545573,3.30909939792077,0.600997768012146,0.853503137262349
"TRIM7",0.170958638930454,3.95151939758245,3.42891646998284,0.601226588080289,0.853691796861746
"LSM3",-0.142987530751412,4.41773251897474,2.83367067848298,0.601247269885958,0.853691796861746
"CDC37L1-AS1",-0.596908303514485,1.56705293862841,5.19930052070376,0.601426919461982,0.853864040473914
"TLK2",-0.0668154385466909,6.50604816982698,1.44800501411627,0.601745251635646,0.854068819195528
"B3GALNT1",0.191868541098943,3.65877484453328,3.89178081393965,0.601797233171692,0.854068819195528
"MT-RNR2",0.0680339987944945,14.377625045934,0.285268447191033,0.601798586355952,0.854068819195528
"CCDC81",0.690311912058118,1.40913645210475,4.2427069642181,0.601804573132241,0.854068819195528
"PES1",-0.0745919022086124,6.19389463715859,1.79156698304295,0.602029935843147,0.854305811615309
"RMDN3",0.154990771841563,4.19716755496874,3.18975858602926,0.602101944495736,0.854317760001396
"ZNF391",0.323813018230768,2.4920587542842,6.06144046681605,0.602160071716215,0.854317760001396
"VPS18",0.0923820436670887,5.5925511936665,1.39861997197322,0.602213468839464,0.854317760001396
"C9orf116",-0.249534008797934,3.0415092547134,5.20247274221984,0.602353747968632,0.85443394604273
"C17orf100",-0.589784939643266,1.5772714486034,5.27998191938625,0.602470051836563,0.854516104145744
"FAM65A",-0.307974314707767,2.59428482853275,4.36997605921851,0.602594722534271,0.854610112307325
"MED6",-0.146444974275859,4.34383497936757,3.09708650890883,0.602790628399009,0.854638740515798
