"","logFC","logCPM","F","PValue"
"RPL8",-0.292479407505617,9.84507935250902,13.5239704742712,0.00255555690146108
"MAML1",-0.0697392810662997,6.57373600698612,1.84646602692443,0.576927499613728
"LRWD1",-0.299890386746285,4.67123528019453,8.12211469958595,0.229215721003855
"FBXL13",-0.0450839741728993,2.01164226435608,0.0415792372994912,0.955830875011523
"NAPEPLD",0.855382076013169,4.66796190634827,132.479517250494,0.000725717570273497
"PSMC2",0.166411672984672,5.86841094410543,8.35723837196258,0.299996946645371
"CELF5",0.0615928059913456,3.56394461055317,0.384268560865389,0.871923603793756
"MFSD12",1.27911594969339,7.2439790603582,374.728519217006,2.27164447966779e-11
"USP41",2.61464402937224,2.4883342919797,223.425336534531,0.00034986042263308
"TUBA3FP",-0.716077949296351,1.57693293805802,8.03002702095273,0.529259611638397
"YDJC",0.25791966331446,4.33910962435552,3.18060630502124,0.359982356334558
"CCDC116",-1.0466361134267,1.44230872327872,12.5462868470045,0.423735457830613
"DVL3",0.263811131120228,6.9252079765116,22.8300389550991,0.0169541076930204
"AP2M1",-0.03704523622166,8.17599132680932,0.777068272316824,0.603246685369489
"ABCF3",0.653136365688933,5.79364555116043,121.110703067991,8.7609461711545e-05
"PCYT1A",0.244971092746135,6.03313714443136,19.0973670051694,0.10583321419357
"FBXO27",-0.842760368587768,3.63601391277607,47.3107018771146,0.0266957231125378
"DMKN",0.265634056106754,6.72141159005791,18.3614153410902,0.0252460326765853
"U2AF1L4",0.708805343619423,2.07185468448144,16.4471921150784,0.371161732790741
"BDH1",0.929630450825832,4.84512423691646,149.239319500746,9.25246132057107e-05
"NPHS1",0.168157508702407,1.90525966145629,0.597508196218368,0.847118014228602
"THAP8",0.503193676001806,2.80721303986348,17.7351976525162,0.346177934321327
"LRRC56",-0.272655966475565,3.62594974479476,4.29420824505786,0.46582993396974
"PLXDC1",0.0562809287042613,3.06598518518226,0.174454533952582,0.905132667163117
"PGAP3",0.576246124124847,3.73798465547188,23.9239446417021,0.108060658802643
"GRIN2C",1.27206793547981,2.95759372294717,101.05375319726,0.0137413872930514
"FDXR",0.450204717033823,5.73124718740942,30.5568945326542,0.00783705361669143
"SAP30BP",-0.0407337586839236,5.96234469838015,0.462501838786652,0.793091969575879
"ACOX1",0.0775298727769946,6.66457019955299,2.40381198664949,0.521666851217751
"PRPSAP1",0.253845467300314,5.83790069089885,19.4543595204487,0.118122984422892
"SRSF2",0.246732037603584,7.7197433711041,29.7305768760089,0.00316628640132627
"ZNF577",0.25693040295743,1.83855776462418,0.790996875715113,0.778565045846004
"TMEM143",0.260923195413167,3.27892567178055,6.28361957017552,0.544781249535074
"ALDH16A1",0.612766646470717,4.82282791257453,47.663806752705,0.00963673562970035
"ITGA5",-0.603326890123762,6.30752104885482,80.1456866309716,1.46084503435922e-05
"ZNF385A",0.121671289230243,6.29090235378692,1.97962417875398,0.378335703284199
"MPP3",0.064433047493653,4.36611547564152,0.65141715353298,0.81710667701731
"NAGS",0.0862878060494911,3.03768572752587,0.39558938703844,0.85680933078222
"LSM12",-0.183920451134816,6.39098492877978,12.9684171145773,0.168467161108922
"EMC10",-0.00638523361714832,6.62674682267115,0.0065790226131028,0.958402629453315
"JOSD2",-0.112450523814863,3.07424745658989,0.797642463133952,0.811307632991938
"SHANK1",-0.196127201825849,3.16179369016649,3.62641827209037,0.665585247924665
"FAM171A2",-0.391347186371501,4.1257373924856,10.8792536572651,0.20321239341163
"DBF4B",0.46209769754542,4.30629334936492,23.69469700293,0.106492906666203
"PLCD3",0.0702777713118479,6.88898107674209,1.14221274540351,0.529586994726844
"FMNL3",0.297329828176532,3.21198183857978,7.92860921748325,0.502701354919831
"RACGAP1",-0.404375696457881,6.18788539654044,49.6683750032993,0.00505539121944302
"LARP4",0.0888998029086801,6.38431030944352,2.65818594410173,0.505751957939069
"RAVER1",0.125473135478066,5.56758619077193,2.75465033387272,0.482971643869339
"SYCE2",-0.15404154211189,1.49576326151386,0.339891452154547,0.898368746453476
"SPC24",0.0862509220851781,3.84847372855378,0.812021720766091,0.80009656984094
"LEMD2",0.137844569673757,5.28150514323789,4.14694618256855,0.48715340552607
"ALOX15",1.40751587215685,1.98250621164871,36.3124270859234,0.105562776119896
"ADCY10P1",-0.222064925814631,2.9055764235201,1.94687064299433,0.66265308798523
"ZNF653",-0.142835367198344,2.89753150654509,1.407434125747,0.779544164682494
"MED11",0.195824032494196,3.07174519263121,1.67842424172259,0.677718393748979
"CXCL16",1.55433403793653,6.94621742705462,662.615477276289,4.98843935272511e-13
"TNFSF13",2.63246312760332,2.19499683321696,168.715543169978,0.00213771559109043
"SENP3",0.20923331175835,3.42553368774184,3.47473640996115,0.605224546264397
"FGF11",0.149473468688279,2.48997404509518,0.722226935219472,0.809743941421821
"EIF4A1",0.359113158232587,3.11005394599459,9.95725970616573,0.439147548176552
"RPL26",-0.40713043108213,7.09873628732788,54.9168087883208,9.88549341536094e-05
"POLR3K",0.27667345504697,2.90769278153103,5.29577492445601,0.585817165497371
"SNRNP25",0.0909144761009132,3.13584213155194,0.579977257853674,0.842621001651537
"WDR90",0.8304377407061,5.1002071686437,47.2692290809367,0.000116327942777255
"JMJD8",0.466139133993097,6.20436916558683,51.7860129368632,0.00111939270356928
"CCDC78",0.702308257438109,2.70336857458501,29.7167764164287,0.213528210058631
"SSTR5",-1.01773863401588,2.20016247781861,26.7726130148362,0.175653682055929
"SPSB3",0.160707190218718,4.55100379166809,2.99306660819921,0.536257556204122
"C16orf59",0.607506126791092,3.41345068685547,24.1097613727024,0.138394306987796
"CCNF",-0.196644440571562,5.45653367753803,8.33162534541759,0.291913201472285
"TBC1D24",0.106674732085729,5.01718630020919,2.58248909033208,0.625381378243466
